name,year,magnitude,focal_depth,damage
"IRAN:  HADJI ABAD, ORZUIYEH",2007,5.0,10.0,4.0
INDONESIA:  SITUBONDO,2007,4.8,35.0,13.0
"COLOMBIA:  NARINO, EL CHARCO, ISCUANDE, LA TOLA",2007,6.8,31.0,5.0
INDONESIA:  SUMATRA,2007,8.4,34.0,161.0
PAKISTAN:  GHANCHE,2007,4.8,10.0,12.0
INDIA:  GUJARAT,2007,5.1,10.0,5.0
"BANGLADESH:  CHITTAGONG, BANDARBAN, RANGAMATI",2007,5.1,29.0,10.0
"CHILE:  TOCOPILLA, MARIA ELENA",2007,7.7,40.0,65.0
"IRAN:  WESTERN:  QAL' EH-YE TOL, KHUZESTAN",2007,4.8,7.0,30.0
MARTINIQUE,2007,7.4,156.0,102.0
BRAZIL:  MINAS GERAIS,2007,4.6,10.0,6.0
"CHILE:  OFF CENTRAL COAST, VINA DEL MAR, VALPARAISO",2007,5.9,25.0,4.0
"INDONESIA: NEW GUINEA: MANOKWARI,",2008,5.9,12.0,6.0
INDONESIA:  SUMATRA:  NIAS ISLAND:  GUNUNGSITOLI,2008,6.1,20.0,5.0
CONGO:  BUKAVU,2008,5.9,10.0,717.0
INDIA:  WEST BENGAL,2008,4.3,10.0,50.0
IRAN:  NASIRABAD,2008,4.9,14.0,10.0
RWANDA:  GISENYI,2008,4.9,10.0,109.0
LEBANON-SYRIA:  BAALBEC,2008,5.0,10.0,10.0
INDONESIA:  SUMATERA:  ACEH PROVINCE,2008,7.4,26.0,25.0
NEVADA:  WELLS,2008,6.0,7.0,3.0
UNITED KINGDOM:  ENGLAND:  LINCOLNSHIRE,2008,4.8,18.0,1.0
PERU:  OFF COAST,2008,5.3,51.0,1.0
"IRAN:  LORESTAN, BOROUJERD",2008,4.5,16.0,100.0
JAPAN:  HONSHU:  E COAST,2008,6.8,39.0,6.0
CHINA:  SICHUAN PROVINCE,2008,7.9,19.0,374171.0
CHINA:  SICHUAN PROVINCE,2008,6.0,10.0,927.0
ICELAND: REYKJAVIK,2008,6.3,10.0,30.0
ALGERIA:  ORAN,2008,5.5,4.0,30.0
INDIA:  MANPUR,2008,3.8,11.0,2.0
"GREECE:  ACHAIA, ILEIA",2008,6.3,16.0,240.0
JAPAN:  HONSHU:  TOKYO,2008,6.9,8.0,357.0
"PERU:  CENTRAL:  OXAPAMPA, HUANCABAMBA",2008,5.5,33.0,45.0
JAPAN:  HONSHU:  N,2008,6.8,108.0,200.0
CHINA:  SICHUAN PROVINCE,2008,5.6,10.0,17.0
CALIFORNIA:  LOS ANGELES,2008,5.4,15.0,8.0
CHINA:  SICHUAN PROVINCE,2008,5.7,7.0,231.0
CHINA:  SICHUAN PROVINCE,2008,6.0,6.0,29.0
CHINA:  YUNNAN PROVINCE,2008,6.0,1.0,127.0
CHINA:  SICHUAN PROVINCE,2008,5.9,17.0,589.0
IRAN:  HORMOZGAN PROVINCE,2008,6.1,12.0,45.0
INDIA:  MAHARASHTRA,2008,5.0,10.0,20.0
KYRGYZSTAN: NURA,2008,6.6,27.0,140.0
CHINA:  TIBET (XIZANG PROVINCE),2008,6.3,12.0,19.0
RUSSIA:  CAUCASUS:  CHECHNYA,2008,5.7,16.0,100.0
PAKISTAN:  QUETTA,2008,6.4,15.0,370.0
PAKISTAN:  ZIARAT,2008,6.4,14.0,1.0
CHINA:  QINGHAI PROVINCE,2008,6.3,19.0,3.0
INDONESIA:  MINAHASSA PENINSULA,2008,7.3,30.0,77.0
IRAN:  S,2008,5.4,15.0,5.0
CHINA:  SICHUAN PROVINCE,2008,4.5,25.0,3.0
CHINA:  YUNNAN PROVINCE:  SIMAO,2008,4.8,35.0,19.0
MYANMAR (BURMA),2008,4.7,35.0,19.0
PAPUA NEW GUINEA:  NEAR NORTH COAST,2009,7.6,17.0,250.0
COSTA RICA:  LA PAZ,2009,6.1,14.0,100.0
INDONESIA:  KEPULAUAN TALAUD,2009,7.2,22.0,64.0
PAKISTAN; INDIA:  KASHMIR,2009,5.4,10.0,44.0
INDIA:  CHAIBASA,2009,4.1,10.0,5.0
ITALY:  L'AQUILA,2009,6.3,9.0,1500.0
INDIA:  JAISALMER,2009,5.2,44.0,6.0
AFGHANISTAN:  NANGARHAR,2009,5.4,6.0,51.0
SAUDI ARABIA: WESTERN,2009,5.7,2.0,7.0
HONDURAS:  NORTHERN; BELIZE,2009,7.3,10.0,40.0
VANUATU ISLANDS:  TONGOA,2009,5.7,13.0,10.0
VANUATU ISLANDS:  TONGOA,2009,6.3,15.0,4.0
PANAMA: PANAMA CITY,2009,6.0,38.0,32.0
CHINA:  YUNNAN PROVINCE:  YAOAN COUNTY,2009,5.7,7.0,336.0
CHINA:  CHONGQING PROVINCE:  RONGCHANG,2009,3.4,10.0,1.0
JAPAN:  HONSHU:  S COAST,2009,6.4,40.0,123.0
INDONESIA:  SUMATRA:  PADANG,2009,6.7,20.0,9.0
INDONESIA:  JAVA,2009,7.0,46.0,1297.0
GEORGIA:  NORTHWESTERN,2009,6.0,15.0,1.0
VENEZUELA:  CARABOBO,2009,6.3,10.0,18.0
"PHILIPPINES:  COTABATO, SULTAN KUDARAT",2009,5.7,10.0,91.0
INDONESIA:  BALI:  DENPASAR,2009,5.7,79.0,7.0
INDONESIA:  SUMATRA:  PADANG,2009,7.5,81.0,1214.0
CHINA:  YUNNAN PROVINCE,2009,4.9,25.0,28.0
IRAN:  BANDAR ABBAS,2009,5.1,14.0,269.0
INDONESIA:  SUMABAWA:  BIMA,2009,6.6,18.0,200.0
SOUTH AFRICA:  CARLETONVILLE,2009,3.5,2.0,3.0
MALAWI:  KARONGA,2009,5.9,8.0,15.0
JAPAN:  HONSHU:  ITO,2009,4.9,7.0,7.0
TAIWAN:  HUALIEN,2009,6.4,57.0,14.0
MALAWI:  KARONGA,2009,6.0,6.0,250.0
BHUTAN:  DAMETSI,2009,5.2,10.0,2.0
INDONESIA:  JAVA:  GARUT,2010,5.1,65.0,2.0
CALIFORNIA:  OFF COAST NORTHERN,2010,6.5,29.0,30.0
HAITI:  PORT-AU-PRINCE,2010,7.0,13.0,30000.0
VENEZUELA:  CARIACO,2010,5.5,8.0,11.0
CHINA:  GUIZHOU PROVINCE,2010,4.4,27.0,9.0
CHINA:  SICHUAN PROVINCE: MOXI,2010,4.7,10.0,15.0
CHINA:  YUNNAN PROVINCE,2010,4.8,36.0,11.0
"JAPAN:  TORI SHIMA, OKINAWA",2010,7.0,25.0,2.0
"CHILE:  MAULE, CONCEPCION, TALCAHUANO",2010,8.8,23.0,12000.0
ARGENTINA:  SALTA,2010,6.3,10.0,2.0
TAIWAN:  KAO-HSIUNG,2010,6.3,21.0,96.0
"TURKEY:  ELAZIG PROVINCE:  OKCULAR, YUKARI DEMIRCI",2010,6.1,12.0,100.0
INDIA: ANDAMAN ISLANDS:  DIGLIPUR,2010,6.7,34.0,10.0
MEXICO:  BAJA CALIFORNIA,2010,7.2,4.0,233.0
CHINA:  QINGHAI PROVINCE:  YUSHU,2010,6.9,17.0,12135.0
AFGHANISTAN:  SAMANGAN PROVINCE,2010,5.6,13.0,70.0
AUSTRALIA:  KALGOORLIE,2010,5.2,0.0,3.0
PERU:  TACNA,2010,6.2,37.0,11.0
ALGERIA:  NORTHERN:  BENI YELLMAN,2010,5.2,2.0,43.0
IRAN:  FARSINAJ,2010,5.8,10.0,32.0
IRAN:  TORBET-I-HEYDARIYEH,2010,5.4,24.0,274.0
IRAN:  DAMGHAN-TORUD,2010,5.7,7.0,200.0
"CHINA:  SICHUAN PROVINCE: NINGANG, ZIAOJIA",2010,4.9,35.0,14.0
NEW ZEALAND:  CHRISTCHURCH,2010,7.0,12.0,2.0
IRAN:  SHIRAZ,2010,5.8,27.0,3.0
"PAKISTAN:  KHANPUR, HARIPUR",2010,5.2,33.0,15.0
BALKANS NW: SERBIA:  KRALJEVO,2010,5.5,1.0,100.0
IRAN:  DORUD-RAZAN,2010,4.9,5.0,104.0
PAKISTAN:  QUETTA,2010,4.7,27.0,12.0
IRAN:  KERMAN,2010,6.5,12.0,25.0
IRAN:  FARS PROVINCE,2011,4.5,24.0,16.0
CHINA:  YUNNAN PROVINCE:  PINGYUAN,2011,4.8,31.0,1.0
"NEW ZEALAND:  CHRISTCHURCH, LYTTELTON",2011,6.1,6.0,1500.0
CHINA:  YUNNAN PROVINCE:  PINGYUAN,2011,5.5,26.0,250.0
JAPAN:  HONSHU,2011,9.1,30.0,6152.0
MYANMAR:  TACHILEK,2011,6.8,8.0,123.0
JAPAN: NEAR E COAST HONSHU,2011,7.1,42.0,132.0
INDONESIA:   SULAWESI:  KENDARI,2011,6.1,8.0,14.0
TURKEY:  SIMAV,2011,4.3,7.0,125.0
CHINA:  XINJIANG PROVINCE:  DABANCHENG,2011,5.3,21.0,8.0
NEW ZEALAND:  SOUTH ISLAND:  CANTERBURY,2011,6.0,6.0,45.0
CHINA:  YUNNAN PROVINCE:  BAOSHAN,2011,5.3,39.0,4.0
"UZBEKISTAN:  FARGONA, VIOLYATI",2011,6.1,20.0,86.0
"CHINA:  XINJIANG PROVINCE:  SOUTHERN, KASHI",2011,5.7,10.0,21.0
INDIA:  DELHI,2011,4.3,10.0,1.0
INDIA:  SIKKIM,2011,6.9,50.0,177.0
INDIA:  GUJARAT,2011,5.0,10.0,34.0
"TURKEY:  ERCIS, VAN",2011,7.1,16.0,2608.0
PERU:  SAN VICENTE DE CANETE,2011,6.9,24.0,103.0
OKLAHOMA:  SPARKS,2011,5.7,5.0,2.0
PHILIPPINES:  MINDANAO:  BUKIDNON PROVINCE,2011,5.0,46.0,31.0
MEXICO:  GUERRERO,2011,6.4,54.0,5.0
NEW ZEALAND:  SOUTH ISLAND:  CHRISTCHURCH,2011,5.8,10.0,60.0
IRAN:  KHORASAN-E-RAZAVI,2012,5.3,8.0,238.0
PERU:  ICA,2012,6.4,43.0,119.0
PHILIPPINES:  NEGROS ORIENTAL PROVINCE,2012,6.7,11.0,112.0
IRAN:  RAVAR,2012,5.2,10.0,6.0
PHILIPPINES:  MASBATE ISLAND,2012,5.6,37.0,10.0
PHILIPPINES:  SURIGAO,2012,5.8,18.0,55.0
"MEXICO:  GUERRERO, OAXACA",2012,7.4,20.0,13.0
"CHILE:  PARRAL, SANTIAGO",2012,7.2,41.0,14.0
INDONESIA:  N SUMATRA:  OFF WEST COAST,2012,8.6,20.0,12.0
"IRAN:  MOURMOURI, ABDANAN, DEHLORAN",2012,5.4,10.0,8.0
AZERBAIJAN:  ZAGATALA,2012,5.7,11.0,50.0
"INDIA:  ASSAM:  KAMRUP, GUWAHATI",2012,5.4,43.0,2.0
"ITALY:  EMILIA ROMAGNA:  MEDOLLA, MIRANDOLA, CAVEZZO",2012,5.9,10.0,350.0
INDONESIA:  JAVA,2012,5.8,50.0,2.0
TURKEY:  FETHIYE; GREECE:  RHODES,2012,6.1,35.0,6.0
AFGHANISTAN:  HINDU KUSH,2012,5.8,16.0,13.0
TURKEY:  SIRNAK,2012,5.3,5.0,23.0
CHINA:  YUNNAN AND SICHUAN PROVINCES,2012,5.5,10.0,394.0
CHINA:  XINJIANG PROVINCE,2012,6.3,18.0,52.0
CHINA:  JIANGSU PROVINCE,2012,4.9,10.0,2.0
"IRAN:  AHAR, HARIS, VARZAGAN",2012,6.5,11.0,3000.0
"INDONESIA:  SULAWESI:  SIGI, PARIGI MOUNTONG",2012,6.3,10.0,43.0
"PHILIPPINES:  CAGAYAN DE ORO, TACLOBAN",2012,7.6,28.0,1.0
COSTA RICA:  NICOYA,2012,7.6,35.0,20.0
CHINA: YUNNAN PROVINCE:  ZHAOTONG:  YILIANG,2012,5.6,10.0,821.0
"GUATEMALA:  SAN MARCOS, SAN CRISTOBAL COCHU",2012,7.3,24.0,155.0
MYANMAR (BURMA):  SHWEBO,2012,6.8,14.0,230.0
IRAN:  KHORASAN PROVINCE,2012,5.7,14.0,12.0
JAPAN:  HONSHU:  MIYAGI PREFECTURE,2012,7.2,31.0,11.0
INDONESIA:  SUMATERA:  N,2013,6.1,12.0,15.0
"COLOMBIA:  CAUCA, NARINO, VALLE DEL CAUCA, RISARALDA",2013,7.0,145.0,15.0
CHINA:  YUNNAN PROVINCE:  QIAOJIA,2013,4.9,10.0,8.0
CHINA:  YUNNAN PROVINCE,2013,5.4,8.0,30.0
"TAIWAN:  NANTOU COUNTY, TAIPEI",2013,6.0,19.0,86.0
"IRAN:  BUSHEHR PROVINCE:  SHANBE, KAKI, SENA",2013,6.3,12.0,850.0
JAPAN,2013,5.8,14.0,24.0
IRAN; PAKISTAN:  MASHKAL,2013,7.7,80.0,300.0
JAPAN: MIYAKEJIMA,2013,5.8,9.0,3.0
TEXAS:  WEST,2013,2.1,0.0,200.0
CHINA:  SICHUAN PROVINCE:  LONGMEN,2013,6.6,14.0,11470.0
AFGHANISTAN:  KAMA,2013,5.5,64.0,141.0
"INDIA:  KASHMIR:  DODA, KISHTWAR, RAMBAN",2013,5.7,15.0,90.0
IRAN:  HORMOZGAN: BASHAGARD,2013,6.1,15.0,20.0
ALGERIA:  ALGIERS,2013,4.9,7.0,5.0
"PHILIPPINES:  N. COTABATO:  KIMADZIL, KIBUGTONGAN",2013,5.7,10.0,33.0
TAIWAN:  JENAI,2013,6.3,17.0,21.0
INDONESIA:  LOMBOK ISLAND,2013,5.1,47.0,50.0
INDONESIA:  BANDA ACEH,2013,6.1,13.0,2500.0
INDONESIA:  JAVA,2013,5.7,60.0,1.0
ALGERIA:  HAMMAM MELOUANE,2013,4.8,10.0,11.0
NEW ZEALAND:  COOK STRAIT,2013,6.5,17.0,5.0
"CHINA:   GANSU:  DINGXI, MIN",2013,6.0,8.0,1001.0
MEXICO:  ACAPULCO,2013,6.2,12.0,1.0
CHINA:  YUNNAN PROVINCE:  BENZILAN,2013,5.8,10.0,24.0
"GUATEMALA:  COATEPEQUE, QUETZALTENANGO",2013,6.6,67.0,11.0
"PAKISTAN:  AWARAN, KECH",2013,7.7,15.0,816.0
GREECE:  CRETE:  CHANIA,2013,6.4,36.0,1.0
"PHILIPPINES:  BOHOL, CEBU",2013,7.1,20.0,583.0
INDONESIA:  BANDA ACEH,2013,5.3,48.0,2.0
JAPAN:  HONSHU:  E COAST,2013,7.1,26.0,1.0
IRAN:  BORAZJAN,2013,5.6,16.0,190.0
IRAN:  BASTAK,2014,5.3,8.0,30.0
GREECE:  KEFALONIA,2014,6.1,12.0,6.0
GREECE:  KEFALONIA:  LIXOURION,2014,6.1,14.0,16.0
JAPAN:  SOUTHWESTERN,2014,6.3,79.0,18.0
CHINA:  YUNNAN PROVINCE:  XILUODU,2014,5.4,26.0,21.0
"NICARAGUA:  NAGAROTE, MANAGUA",2014,6.1,13.0,250.0
PAKISTAN:  NAWABSHAH,2014,4.5,15.0,70.0
"GREECE, TURKEY",2014,6.9,10.0,266.0
CHINA:  YUNNAN PROVINCE:  YINGJIANG,2014,5.9,10.0,45.0
MEXICO; GUATEMALA:  SAN MARCOS,2014,6.9,60.0,33.0
JAPAN:  SANRIKU,2014,6.5,11.0,3.0
MEXICO:  OAXACA,2014,6.3,95.0,1.0
ALGERIA:  ALGIERS,2014,5.6,10.0,420.0
"CHINA:  YUNNAN:  LUDIAN:   LONGTOUSHAN, ZHAOTONG",2014,6.1,10.0,2400.0
SOUTH AFRICA,2014,5.3,10.0,2.0
ECUADOR:  QUITO,2014,5.1,5.0,8.0
CHINA:  YUNNAN PROVINCE:  YONGSHAN,2014,5.1,10.0,6.0
IRAN:  ABDANAN,2014,6.2,10.0,60.0
"CALIFORNIA:  NAPA, VALLEJO",2014,6.0,11.0,172.0
PERU:  PACCHA,2014,4.9,43.0,5.0
CHINA:   YUNNAN PROVINCE:  YONGPING,2014,6.0,11.0,323.0
CHINA:  SICHUAN PROVINCE:  KANGDING,2014,5.9,15.0,15.0
"JAPAN:  NAGANO:  HAKUBA, OTARI",2014,6.2,10.0,41.0
CHINA:  YUNNAN PROVINCE:  YONGPING,2014,5.6,11.0,15.0
BALKANS NW:  BOSNIA-HERZEGOVINA:,2015,3.4,7.0,1.0
PAKISTAN:  BATTAGRAM,2015,5.4,29.0,5.0
CHINA:  ANHUI PROVINCE:  FUYANG,2015,4.7,10.0,13.0
TAIWAN:  TAIPEI,2015,6.4,29.0,1.0
NEPAL:   KATHMANDU,2015,7.8,15.0,17866.0
NEPAL:   DOLAKHA,2015,7.3,15.0,2800.0
INDIA:  KOKRAJHAR,2015,5.1,26.0,2.0
CHINA:  S. XINJIANG:  HOTAN,2015,6.4,20.0,263.0
RWANDA:  BUKAVU,2015,5.5,10.0,30.0
CHILE:  CENTRAL,2015,8.3,22.0,14.0
INDONESIA:  SORONG,2015,6.6,18.0,39.0
ARGENTINA:  GALPON,2015,5.8,14.0,5.0
AFGHANISTAN: HINDU KUSH,2015,7.5,213.0,1700.0
"GREECE:  LEFKADA, KEFALONIA, ITHACA",2015,6.5,11.0,4.0
AFGHANISTAN:  HINDU KUSH:  NANGARHAR; PAKISTAN,2015,6.3,203.0,97.0
INDIA:  IMPAHL,2016,6.7,55.0,100.0
INDONESIA: MALUKU:  AMBALAU ISLAND,2016,5.5,46.0,8.0
MOROCCO:  MELILLA,2016,6.3,10.0,15.0
TAIWAN:  TAINAN,2016,6.4,23.0,525.0
AFGHANISTAN:  KHYBER PAKHTUNKHWA,2016,6.6,212.0,5.0
"JAPAN:  KUMAMOTO, OITA",2016,7.0,10.0,1500.0
"ECUADOR:  NEAR WEST COAST:  PUERTO LOPEZ, SALANGO",2016,7.8,21.0,6274.0
CHINA:  TIBET (XIZANG PROVINCE),2016,5.5,10.0,60.0
ECUADOR:  MANABI PROVINCE,2016,6.8,31.0,162.0
INDONESIA:  SUMBAWA ISLAND:  WEST NUSA TENGGARA,2016,5.9,10.0,4.0
PERU:  AREQUIPA,2016,5.4,10.0,67.0
"ITALY:  ACCUMOLI, ARQUATA, AMATRICE",2016,6.2,10.0,368.0
MYANMAR (BURMA): CHAUK,2016,6.8,84.0,20.0
TANZANIA:  LAKE VICTORIA,2016,5.9,40.0,252.0
BALKANS NW:  MACEDONIA,2016,5.3,10.0,30.0
SOUTH KOREA:  GYEONGJU,2016,4.6,10.0,14.0
RWANDA:  RISUZI; CONGO:  UKAVU,2016,4.8,10.0,25.0
JAPAN:  KURAYOSHI,2016,6.2,10.0,7.0
ITALY: NORCIA,2016,6.6,10.0,12.0
"NEPAL:   MOUNT AMA DABLAM, CHARIKHARKA",2016,5.4,10.0,1.0
"PERU:  PUNO, LAMPA",2016,6.2,10.0,17.0
INDONESIA:  SUMATRA:  ACEH:  PIDIE JAYA,2016,6.5,8.0,600.0
INDIA:  AMBASA,2017,5.7,32.0,3.0
IRAN:  KHONJ,2017,5.0,10.0,4.0
PHILIPPINES: SURIGAO DEL NORTE,2017,6.5,15.0,202.0
MYANMAR (BURMA):  THARRAWADDY,2017,5.1,10.0,36.0
IRAN:  SEFID SANG,2017,6.1,13.0,11.0
"PHILIPPINES: BATANGAS, CALABARZON",2017,5.9,43.0,6.0
"EL SALVADOR: SAN SALVADOR,SOYAPANGO",2017,4.8,10.0,3.0
CHINA: XINJIANG: QUZGUN,2017,5.4,10.0,23.0
IRAN: KHORASAN,2017,5.8,17.0,400.0
TANZANIA: MWANZA,2017,4.4,10.0,18.0
INDONESIA:  SULAWESI:  POSO,2017,6.8,12.0,5.0
GREECE: LESBOS,2017,6.3,10.0,15.0
"GUATEMALA: QUETZALTENANGO, SUCHITEPEQUEZ; MEXICO",2017,6.9,94.0,30.0
"GUATEMALA: ESCUINTLA, SUCHITEPEQUEZ, GUATEMALA",2017,6.8,47.0,4.0
MOZAMBIQUE,2017,5.6,24.0,4.0
PHILIPPINES: LEYTE,2017,6.5,7.0,101.0
"TURKEY: BODRUM, DATCA; GREECE: KOS",2017,6.7,10.0,500.0
CHINA:  SICHUAN PROVINCE:  ABA,2017,6.5,9.0,493.0
CHINA:  XINGJIANG: BORTALA,2017,6.3,26.0,32.0
ITALY:  ISLAND OF ISCHIA,2017,4.2,9.0,42.0
MEXICO:  OAXACA,2017,6.1,9.0,2.0
PHILIPPINES: MINDANAO: LANAO DEL SUR PROVINCE,2017,5.7,31.0,11.0
