name,year,magnitude,focal_depth,damage
BALKANS NW:  MACEDONIA:  DEBAR,1979,6.2,8.0,65.0
CHINA:  JIANGSU PROVINCE:  LIYANG,1979,5.4,11.0,2987.0
CHINA:  NEI MONGOL:  WU-YUAN,1979,5.9,33.0,104.0
ITALY:  CENTRAL:  UMBRIA,1979,5.8,16.0,5000.0
GUATEMALA,1979,4.7,33.0,40.0
CALIFORNIA:  IMPERIAL VALLEY; MEXICO: MEXICALI,1979,6.9,10.0,91.0
INDONESIA:  SUMBAWA ISLAND,1979,6.2,38.0,40.0
GUATEMALA,1979,6.8,58.0,23.0
INDONESIA:  JAVA,1979,6.1,62.0,200.0
GREECE-ALBANIA,1979,5.2,40.0,3.0
COLOMBIA:  MANIZALES-ARMENIA,1979,6.4,108.0,600.0
IRAN,1979,7.5,10.0,24.0
"COLOMBIA: OFF SHORE, PACIFIC OCEAN",1979,7.7,33.0,20000.0
INDONESIA:  S SUMATERA,1979,6.6,33.0,162.0
"INDONESIA:  SUMBAWA ISLAND:  BALI, LOMBOK",1979,6.3,33.0,200.0
"AZORES:   TERCEIRA, ANGRA DO HEROISMO",1980,6.7,10.0,600.0
CALIFORNIA:  LIVERMORE,1980,5.9,11.0,50.0
BALKANS NW:  SERBIA,1980,5.8,9.0,30.0
CALIFORNIA:  MAMMOTH LAKES,1980,6.1,7.0,7.0
MEXICO:  NW,1980,6.4,5.0,100.0
JAPAN:  HONSHU:  S COAST,1980,6.2,15.0,7.0
KENTUCKY:  MAYSVILLE,1980,5.1,8.0,2.0
"ECUADOR:  W, GUAYAQUIL",1980,5.6,55.0,100.0
INDIA:  KASHMIR,1980,4.9,25.0,40.0
"JAPAN:  TOKYO, YOKOHAMA",1980,6.0,73.0,73.0
ALGERIA:  NORTHERN,1980,7.7,10.0,9000.0
"ITALY:   AVELLINO, POTENZA, CASERTA, NAPLES",1980,6.9,20.0,7700.0
VENEZUELA:  E,1980,5.0,40.0,36.0
"IRAN:  N CENTRAL, TEHRAN",1980,5.2,41.0,139.0
CHINA:  SICHUAN PROVINCE,1981,6.8,33.0,489.0
GREECE:  ATHENS-EASTERN GULF OF CORINTH,1981,6.7,33.0,400.0
GREECE:  ATHENS-CORINTH-KHALIS,1981,6.4,29.0,9.0
PERU:  AYACUCHO,1981,4.8,38.0,15.0
"IRAN:  SE, KERMAN",1981,7.1,33.0,1000.0
BALKANS NW:  BOSNIA-HERZEGOVINA:  BANJA LUKA,1981,5.5,16.0,44.0
PAKISTAN: GILGIT,1981,5.9,33.0,2500.0
PAKISTAN:  CENTRAL,1981,4.0,33.0,12.0
"HONDURAS:  AMPALA, MASAYA",1982,6.0,6.0,2.0
"INDONESIA:  JAVA, SUKABUMI",1982,5.5,40.0,17.0
MEXICO:  CHIAPAS,1982,3.5,9.0,200.0
CHINA:  SICHUAN PROVINCE:  GARZE,1982,5.5,10.0,5.0
HONDURAS-GUATEMALA-EL SALVADOR,1982,5.1,12.0,2.0
"BALKANS NW:  ALBANIA:  BIER, BERAT, LUSHNJE",1982,5.5,21.0,12.0
YEMEN:  DHAMAR,1982,6.0,5.0,1500.0
AFGHANISTAN:  NORTHEASTERN,1982,6.6,36.0,3000.0
INDONESIA:  FLORES ISLAND:  EASTERN,1982,5.9,33.0,390.0
CHINA:  XINJIANG WEIWUER ZIZHIQU PROVINCE: WUQUA S,1983,6.2,16.0,2.0
GREECE: VONITSA,1983,6.2,19.0,7.0
"IRAN:  TEHRAN, DAMAVOND, AMOI",1983,4.9,33.0,61.0
"COLOMBIA:  SW, POPAYAN",1983,4.9,22.0,1200.0
INDONESIA:  SUMATERA:  BANDA ACEH,1983,6.6,79.0,100.0
"CALIFORNIA:  CENTRAL, COALINGA",1983,6.2,10.0,45.0
JAPAN:  HONSHU:  AKITA,1983,7.7,24.0,324.0
COSTA RICA:  SAN JOSE,1983,6.2,33.0,60.0
"TURKEY:  NW, BIGA, ERDEK, ISTANBUL",1983,6.1,10.0,26.0
"IRAN:  NW, ZANJIN",1983,5.0,41.0,41.0
JAPAN:  HONSHU:  S COAST,1983,5.3,25.0,28.0
PHILIPPINES:  LUZON,1983,6.5,29.0,47.0
CHILE:  NORTHERN:  COPOAPO-CHANARAL,1983,7.3,15.0,12.0
INDONESIA:  CENTRAL SULAWESI,1983,6.1,33.0,4.0
"IDAHO:  BORAH PEAK, CHALLIS, MACKAY",1983,7.3,14.0,2.0
